Title	Artist	Label	Year
String Quartets	Leon Kirchner	Composers Recordings Inc. (CRI)	1978
String Quartet #VII	Ralph Shapey	Composers Recordings Inc. (CRI)	1978
Symphonic Music (Symphony No. 2 / 3 Movements For Orchestra)	Robert Hall Lewis	Composers Recordings Inc. (CRI)	1975
Quintette For Piano And Strings, Op. 92 / Three Moods	Leo Ornstein	Composers Recordings Inc. (CRI)	1975
Riding The Wind I / Intermedio	Harvey Sollberger	Composers Recordings Inc. (CRI)	1976
Songs In Praise Of Krishna	George Rochberg	Composers Recordings Inc. (CRI)	1976
Voices And Instruments	Richard Wernick	Composers Recordings Inc. (CRI)	1977
Music Of Tobias Picker	Tobias Picker	Composers Recordings Inc. (CRI)	1980
The Da Capo Chamber Players Celebrate Their Tenth Anniversary	Da Capo Chamber Players	Composers Recordings Inc. (CRI)	1981
Syzygy / Second Symphony	David Del Tredici	Composers Recordings Inc. (CRI)	1983
Quartet For Trumpet, Tenor Saxophone, Percussion And Piano / Passacaglia / Sonata For Violin And Piano	Stefan Wolpe	Counterpoint / Esoteric Records	0
The Lost Child & Other Original Fiddle Tunes Recorded 1928-36	Stripling Brothers	County Records	0
Mise En Musique Du Corticalart De Roger Lafosse	Pierre Henry	Creel Pone	2005
Independant Electronic Music Composer	Edward M. Zajda	Creel Pone	2005
Greek Electronic Music - 1	Various	Creel Pone	2006
Electronic Music University Of Melbourne	Various	Creel Pone	2006
Lettre À Une Demoiselle	Christian Clozier	Creel Pone	2007
Musiques Électroacoustiques	Edgardo Cantón	Creel Pone	2010
Prismes	Pierre Henry	Creel Pone	2011
Elektronische Musik	Josef Otto Mundigl	Creel Pone	2011
April Orchestra Présente RCA Sound Vol. 5	Jarrell	Creel Pone	2012
Electronic Works 1976-1977	David First	Dais Records	2014
Nothing Here Now But The Recordings	William S. Burroughs	Dais Records	2016
Foxy Lady	Crown Heights Affair	De-Lite Records	1975
Sonata For Two Pianos And Percussion / Piano Concerto No. 1	Béla Bartók	Decca	1984
España	Andrés Segovia	Decca	1968
Three Centuries Of The Guitar	Andrés Segovia	Decca	1961
(Third) Stunt	Giuseppe Ielasi	Dekorder	2010
Werke Fur Gitarre / Works For Guitar	Johann Sebastian Bach	Deutsche Grammophon	1971
Lulu-Suite • Altenberg-Lieder Op. 4 • Drei Orchester-Stücke Op. 6	Alban Berg	Deutsche Grammophon	1971
Kammermusik • Chamber Music	Alban Berg	Deutsche Grammophon	1978
Lulu Suite / Three Pieces For Orchestra / Five Orchestral Songs	Alban Berg	Deutsche Grammophon	1982
5 Ētudes De Bruits - Ētude Aux Objets	Pierre Schaeffer	Disques Dreyfus	2010
The Touch Of Leonard Nimoy	Leonard Nimoy	Dot Records	1969
Piano Music Of Berg, Schoenberg And Webern	Alban Berg	Dover Publications	1967
Le Microphone Bien Tempéré	Pierre Henry	Doxy	2009
Le Voile D'Orphée	Pierre Henry	Doxy	2010
Musique Sans Titre / Spatiodynamisme	Pierre Henry	Doxy	2010
Haut-Voltage / Coexistence	Pierre Henry	Doxy	2010
Le Voyage	Pierre Henry	Doxy	2013
Particle Language	Matt Carlson	Draft	2011
Twin Infinitives	Royal Trux	Drag City	2009
Selected Works 1982-1992 	The Tapes	Ecstatic	2016
Jeckyll Loves Hyde	Gang Wizard	Ecstatic Peace!	2003
Stereo Mars	Lambsbread (2)	Ecstatic Peace!	2007
Generators	Keith Fullerton Whitman	Editions Mego	2012
Kubu / Zikir	Mark Fell	Editions Mego	2011
Periodic Orbits Of A Dynamic System Related To A Knot	Mark Fell	Editions Mego	2011
Deltas	Kassel Jaeger	Editions Mego	2012
A History Of Every One	Bill Orcutt	Editions Mego	2013
Old News No. 6	Jim O'Rourke	Editions Mego	2011
Occlusions; Real Time Music For Hybrid Digital-Analogue Modular Synthesizer	Keith Fullerton Whitman	Editions Mego	2012
Emperor Tomato Ketchup	Stereolab	Elektra	1996
Devil's Music	Nicolas Collins	EM Records	2009
Cursed Beast	SIXES	Enterruption	2006
Double Concerto For Harpsichord And Piano With Two Chamber Orchestras - Concerto For Violin, Cello, Ten Winds And Percussion	Elliott Carter	Epic	1962
Suite From "Pocahontas" / Piano Sonata	Elliott Carter	Epic	1962
Behind Closed Doors	Charlie Rich	Epic	1973
Stanley Clarke	Stanley Clarke	Epic	1981
The Boundary Between The Living And The Deceased Dissolved	Blue Sabbath Black Cheer	Equation Records (2)	2012
L'Ascension, Les Offrandes Oubliées, Hymne	Olivier Messiaen	Erato	1971
Corpse On Horseback	Aaron Dilloway	Ergot Records (2)	2013
Art Of The Fugue (Complete)	Johann Sebastian Bach	Everest	0
Serenade Op. 24	Arnold Schoenberg	Everest	0
